team1,team2,winner,margin,ground,matchDate,match_id
Romania,Malta,Romania,3 wickets,Ilfov County,"Aug 19, 2023",T20I # 2202
Romania,Malta,Malta,4 wickets,Ilfov County,"Aug 19, 2023",T20I # 2201
Ireland,India,India,2 runs,Dublin (Malahide),"Aug 18, 2023",T20I # 2200
Romania,Malta,Malta,8 wickets,Ilfov County,"Aug 18, 2023",T20I # 2199
U.A.E.,New Zealand,New Zealand,19 runs,Dubai (DICS),"Aug 17, 2023",T20I # 2198
Germany,Guernsey,Guernsey,10 runs,Deventer,"Aug 15, 2023",T20I # 2197
Germany,Guernsey,Guernsey,5 wickets,Deventer,"Aug 14, 2023",T20I # 2196
Germany,Guernsey,Germany,9 wickets,Deventer,"Aug 14, 2023",T20I # 2195
India,West Indies,West Indies,8 wickets,Lauderhill,"Aug 13, 2023",T20I # 2194
India,West Indies,India,9 wickets,Lauderhill,"Aug 12, 2023",T20I # 2193
West Indies,India,India,7 wickets,Providence,"Aug 8, 2023",T20I # 2192
West Indies,India,West Indies,2 wickets,Providence,"Aug 6, 2023",T20I # 2191
Hungary,Croatia,Hungary,7 wickets,Szodliget,"Aug 6, 2023",T20I # 2190
Hungary,Croatia,Hungary,145 runs,Szodliget,"Aug 5, 2023",T20I # 2189
West Indies,India,West Indies,4 runs,Tarouba,"Aug 3, 2023",T20I # 2188
Malaysia,Thailand,Malaysia,7 wickets,Kuala Lumpur,"Aug 1, 2023",T20I # 2187
China,Myanmar,China,5 wickets,Kuala Lumpur,"Jul 31, 2023",T20I # 2186
Bhutan,Thailand,Thailand,8 wickets,Kuala Lumpur,"Jul 31, 2023",T20I # 2185
Malaysia,Myanmar,Malaysia,184 runs,Kuala Lumpur,"Jul 30, 2023",T20I # 2184
Bhutan,China,Bhutan,95 runs,Kuala Lumpur,"Jul 30, 2023",T20I # 2183
P.N.G.,Japan,P.N.G.,6 wickets,Port Moresby,"Jul 29, 2023",T20I # 2182
Philippines,Vanuatu,Vanuatu,3 wickets,Port Moresby,"Jul 29, 2023",T20I # 2181
Scotland,Ireland,Scotland,8 runs,Edinburgh,"Jul 28, 2023",T20I # 2180
Germany,Italy,Italy,4 wickets,Edinburgh,"Jul 28, 2023",T20I # 2178
Denmark,Jersey,Jersey,28 runs,Edinburgh (Golden),"Jul 28, 2023",T20I # 2179
P.N.G.,Philippines,P.N.G.,100 runs,Port Moresby,"Jul 28, 2023",T20I # 2177
Myanmar,Thailand,Thailand,101 runs,Kuala Lumpur,"Jul 28, 2023",T20I # 2176
Japan,Vanuatu,Vanuatu,5 wickets,Port Moresby,"Jul 28, 2023",T20I # 2175
Scotland,Denmark,Scotland,33 runs,Edinburgh,"Jul 27, 2023",T20I # 2174
Malaysia,Bhutan,Malaysia,75 runs,Kuala Lumpur,"Jul 27, 2023",T20I # 2173
China,Thailand,Thailand,9 wickets,Kuala Lumpur,"Jul 27, 2023",T20I # 2172
Bhutan,Myanmar,Bhutan,31 runs,Kuala Lumpur,"Jul 26, 2023",T20I # 2171
Japan,Philippines,Japan,33 runs,Port Moresby,"Jul 26, 2023",T20I # 2170
Malaysia,China,Malaysia,8 wickets,Kuala Lumpur,"Jul 26, 2023",T20I # 2169
P.N.G.,Vanuatu,P.N.G.,39 runs,Port Moresby,"Jul 26, 2023",T20I # 2168
Germany,Jersey,Jersey,51 runs,Edinburgh,"Jul 25, 2023",T20I # 2167
Denmark,Italy,Italy,26 runs,Edinburgh,"Jul 25, 2023",T20I # 2165
Scotland,Austria,Scotland,166 runs,Edinburgh (Golden),"Jul 25, 2023",T20I # 2166
P.N.G.,Japan,P.N.G.,6 wickets,Port Moresby,"Jul 25, 2023",T20I # 2164
Philippines,Vanuatu,Philippines,6 wickets,Port Moresby,"Jul 25, 2023",T20I # 2163
Ireland,Jersey,Ireland,9 wickets,Edinburgh (Golden),"Jul 24, 2023",T20I # 2162
Scotland,Italy,Scotland,155 runs,Edinburgh,"Jul 24, 2023",T20I # 2160
Austria,Denmark,Denmark,8 wickets,Edinburgh (Golden),"Jul 24, 2023",T20I # 2161
Denmark,Germany,Germany,6 wickets,Edinburgh,"Jul 23, 2023",T20I # 2159
Austria,Ireland,Ireland,128 runs,Edinburgh,"Jul 23, 2023",T20I # 2157
Italy,Jersey,Italy,25 runs,Edinburgh (Golden),"Jul 23, 2023",T20I # 2158
P.N.G.,Philippines,P.N.G.,117 runs,Port Moresby,"Jul 23, 2023",T20I # 2156
Japan,Vanuatu,Japan,21 runs,Port Moresby,"Jul 23, 2023",T20I # 2155
P.N.G.,Vanuatu,P.N.G.,9 wickets,Port Moresby,"Jul 22, 2023",T20I # 2154
Japan,Philippines,Japan,53 runs,Port Moresby,"Jul 22, 2023",T20I # 2153
Scotland,Jersey,Scotland,14 runs,Edinburgh,"Jul 21, 2023",T20I # 2152
Denmark,Ireland,Ireland,9 wickets,Edinburgh,"Jul 21, 2023",T20I # 2150
Austria,Germany,Germany,9 wickets,Edinburgh (Golden),"Jul 21, 2023",T20I # 2151
Scotland,Germany,Scotland,72 runs,Edinburgh (Golden),"Jul 20, 2023",T20I # 2149
Austria,Jersey,Jersey,8 wickets,Edinburgh,"Jul 20, 2023",T20I # 2147
Ireland,Italy,Ireland,7 runs,Edinburgh (Golden),"Jul 20, 2023",T20I # 2148
Malta,Switzerland,Switzerland,6 wickets,Marsa,"Jul 16, 2023",T20I # 2146
Bangladesh,Afghanistan,Bangladesh,6 wickets,Sylhet,"Jul 16, 2023",T20I # 2145
Luxembourg,Romania,Romania,7 wickets,Marsa,"Jul 16, 2023",T20I # 2144
Malta,France,Malta,7 wickets,Marsa,"Jul 16, 2023",T20I # 2143
France,Luxembourg,Luxembourg,4 wickets,Marsa,"Jul 15, 2023",T20I # 2142
Malta,Switzerland,Switzerland,6 wickets,Marsa,"Jul 15, 2023",T20I # 2141
Luxembourg,Romania,Luxembourg,7 wickets,Marsa,"Jul 15, 2023",T20I # 2140
France,Switzerland,Switzerland,6 wickets,Marsa,"Jul 14, 2023",T20I # 2139
Bangladesh,Afghanistan,Bangladesh,2 wickets,Sylhet,"Jul 14, 2023",T20I # 2138
Malta,Romania,Malta,41 runs,Marsa,"Jul 14, 2023",T20I # 2137
Luxembourg,Switzerland,Switzerland,8 wickets,Marsa,"Jul 14, 2023",T20I # 2136
France,Romania,France,88 runs,Marsa,"Jul 13, 2023",T20I # 2135
Romania,Switzerland,Switzerland,6 wickets,Marsa,"Jul 13, 2023",T20I # 2134
Malta,Luxembourg,Malta,6 wickets,Marsa,"Jul 13, 2023",T20I # 2133
Malta,France,France,30 runs,Marsa,"Jul 12, 2023",T20I # 2132
France,Luxembourg,France,9 wickets,Marsa,"Jul 12, 2023",T20I # 2131
Malta,Luxembourg,Luxembourg,4 wickets,Marsa,"Jul 12, 2023",T20I # 2130
France,Luxembourg,France,51 runs,Marsa,"Jul 11, 2023",T20I # 2129
Malta,Luxembourg,Malta,42 runs,Marsa,"Jul 11, 2023",T20I # 2128
Malta,France,Malta,4 runs,Marsa,"Jul 10, 2023",T20I # 2126
Malta,France,France,9 runs,Marsa,"Jul 10, 2023",T20I # 2125
Isle of Man,Austria,Isle of Man,5 wickets,Castletown,"Jul 9, 2023",T20I # 2124
Isle of Man,Austria,Isle of Man,6 wickets,Castletown,"Jul 9, 2023",T20I # 2123
Jersey,Guernsey,Jersey,4 wickets,St Martin,"Jul 8, 2023",T20I # 2122
Jersey,Guernsey,Jersey,7 wickets,St Martin,"Jul 7, 2023",T20I # 2121
Austria,Germany,Germany,8 wickets,Deventer,"Jun 30, 2023",T20I # 2120
Austria,Germany,Germany,6 wickets,Deventer,"Jun 29, 2023",T20I # 2119
Luxembourg,Switzerland,Switzerland,8 wickets,Walferdange,"Jun 25, 2023",T20I # 2117
Bulgaria,Turkey,Bulgaria,8 wickets,Sofia,"Jun 24, 2023",T20I # 2115
Croatia,Serbia,Serbia,9 wickets,Sofia,"Jun 24, 2023",T20I # 2114
Luxembourg,Switzerland,Luxembourg,3 wickets,Walferdange,"Jun 24, 2023",T20I # 2113
Croatia,Turkey,Turkey,8 wickets,Sofia,"Jun 24, 2023",T20I # 2112
Bulgaria,Serbia,Serbia,5 wickets,Sofia,"Jun 23, 2023",T20I # 2111
Bulgaria,Croatia,Bulgaria,9 wickets,Sofia,"Jun 23, 2023",T20I # 2110
Serbia,Turkey,Serbia,70 runs,Sofia,"Jun 23, 2023",T20I # 2109
Kenya,Uganda,Uganda,1 run,Nairobi (Gym),"Jun 21, 2023",T20I # 2108
Rwanda,Uganda,Uganda,94 runs,Nairobi (Gym),"Jun 19, 2023",T20I # 2107
Kenya,Botswana,Kenya,6 wickets,Nairobi (Gym),"Jun 19, 2023",T20I # 2106
Kenya,Uganda,Uganda,5 wickets,Nairobi (Gym),"Jun 18, 2023",T20I # 2105
Botswana,Rwanda,Rwanda,7 wickets,Nairobi (Gym),"Jun 18, 2023",T20I # 2104
Kenya,Rwanda,Kenya,7 wickets,Nairobi (Gym),"Jun 17, 2023",T20I # 2103
Botswana,Uganda,Uganda,7 wickets,Nairobi (Gym),"Jun 17, 2023",T20I # 2102
Kenya,Botswana,Botswana,30 runs,Nairobi (Gym),"Jun 15, 2023",T20I # 2101
Rwanda,Uganda,Uganda,7 wickets,Nairobi (Gym),"Jun 15, 2023",T20I # 2100
Kenya,Rwanda,Kenya,7 wickets,Nairobi (Gym),"Jun 14, 2023",T20I # 2099
Botswana,Uganda,Uganda,64 runs,Nairobi (Gym),"Jun 14, 2023",T20I # 2098
Kenya,Uganda,Uganda,47 runs,Nairobi (Gym),"Jun 13, 2023",T20I # 2097
Botswana,Rwanda,Rwanda,27 runs,Nairobi (Gym),"Jun 13, 2023",T20I # 2096
Czech Rep.,Hungary,Czech Rep.,3 wickets,Vinor,"Jun 11, 2023",T20I # 2095
Rwanda,Uganda,Uganda,8 wickets,Nairobi (Gym),"Jun 11, 2023",T20I # 2094
Germany,Belgium,Germany,8 wickets,Krefeld,"Jun 11, 2023",T20I # 2093
Czech Rep.,Hungary,tied,-,Vinor,"Jun 11, 2023",T20I # 2092
Kenya,Botswana,Kenya,8 wickets,Nairobi (Gym),"Jun 11, 2023",T20I # 2091
Germany,Belgium,Germany,4 wickets,Krefeld,"Jun 10, 2023",T20I # 2090
Czech Rep.,Hungary,Czech Rep.,9 runs,Vinor,"Jun 10, 2023",T20I # 2089
Kenya,Uganda,Kenya,88 runs,Nairobi (Gym),"Jun 10, 2023",T20I # 2088
Germany,Belgium,Germany,5 wickets,Krefeld,"Jun 10, 2023",T20I # 2087
Botswana,Rwanda,Botswana,33 runs,Nairobi (Gym),"Jun 10, 2023",T20I # 2086
Germany,Belgium,Germany,6 runs,Krefeld,"Jun 9, 2023",T20I # 2085
Botswana,Uganda,Uganda,6 wickets,Nairobi (Gym),"Jun 9, 2023",T20I # 2084
Kenya,Rwanda,Kenya,3 wickets,Nairobi (Gym),"Jun 9, 2023",T20I # 2083
Botswana,Mozambique,Botswana,7 wickets,Benoni,"Jun 1, 2023",T20I # 2082
Eswatini,Mozambique,Mozambique,6 wickets,Benoni,"May 30, 2023",T20I # 2081
Botswana,Malawi,Botswana,100 runs,Benoni,"May 30, 2023",T20I # 2080
Botswana,Eswatini,Botswana,107 runs,Benoni,"May 29, 2023",T20I # 2079
Malawi,Mozambique,Malawi,9 wickets,Benoni,"May 28, 2023",T20I # 2078
Eswatini,Malawi,Malawi,53 runs,Benoni,"May 27, 2023",T20I # 2077
Finland,Sweden,tied,-,Glostrup,"May 21, 2023",T20I # 2076
Finland,Norway,Norway,7 wickets,Glostrup,"May 20, 2023",T20I # 2075
Finland,Sweden,Finland,7 runs,Brondby,"May 20, 2023",T20I # 2074
Denmark,Finland,Denmark,8 wickets,Brondby,"May 19, 2023",T20I # 2072
Norway,Sweden,Sweden,53 runs,Glostrup,"May 19, 2023",T20I # 2073
Denmark,Sweden,Sweden,10 wickets,Brondby,"May 19, 2023",T20I # 2070
Finland,Norway,Norway,30 runs,Glostrup,"May 19, 2023",T20I # 2071
Denmark,Finland,Denmark,72 runs,Brondby,"May 18, 2023",T20I # 2068
Norway,Sweden,Norway,75 runs,Glostrup,"May 18, 2023",T20I # 2069
Denmark,Norway,Denmark,9 wickets,Brondby,"May 18, 2023",T20I # 2067
Cambodia,Malaysia,Cambodia,12 runs,Phnom Penh,"May 11, 2023",T20I # 2066
Indonesia,Singapore,Singapore,15 runs,Phnom Penh,"May 11, 2023",T20I # 2065
Cambodia,Philippines,Cambodia,8 runs,Phnom Penh,"May 10, 2023",T20I # 2064
Gibraltar,Malta,Malta,1 run,Gibraltar,"May 7, 2023",T20I # 2063
Gibraltar,Portugal,Portugal,1 wicket,Gibraltar,"May 7, 2023",T20I # 2062
Malta,Portugal,Portugal,7 wickets,Gibraltar,"May 6, 2023",T20I # 2061
Gibraltar,Portugal,Portugal,9 wickets,Gibraltar,"May 6, 2023",T20I # 2060
Gibraltar,Malta,Gibraltar,80 runs,Gibraltar,"May 6, 2023",T20I # 2059
Gibraltar,Malta,Gibraltar,43 runs,Gibraltar,"May 5, 2023",T20I # 2058
Malta,Portugal,Portugal,17 runs,Gibraltar,"May 5, 2023",T20I # 2057
Gibraltar,Portugal,Portugal,7 wickets,Gibraltar,"May 4, 2023",T20I # 2056
Malta,Portugal,Portugal,84 runs,Gibraltar,"May 4, 2023",T20I # 2055
Cambodia,Singapore,Cambodia,15 runs,Phnom Penh,"May 4, 2023",T20I # 2054
Malaysia,Thailand,Malaysia,8 wickets,Phnom Penh,"May 4, 2023",T20I # 2053
Philippines,Singapore,Singapore,87 runs,Phnom Penh,"May 3, 2023",T20I # 2052
Indonesia,Malaysia,Malaysia,94 runs,Phnom Penh,"May 2, 2023",T20I # 2051
Indonesia,Thailand,Indonesia,32 runs,Phnom Penh,"May 1, 2023",T20I # 2050
Pakistan,New Zealand,New Zealand,6 wickets,Rawalpindi,"Apr 24, 2023",T20I # 2049
Pakistan,New Zealand,New Zealand,4 runs,Lahore,"Apr 17, 2023",T20I # 2047
Pakistan,New Zealand,Pakistan,38 runs,Lahore,"Apr 15, 2023",T20I # 2046
Pakistan,New Zealand,Pakistan,88 runs,Lahore,"Apr 14, 2023",T20I # 2045
Portugal,Gibraltar,Portugal,5 wickets,Albergaria,"Apr 11, 2023",T20I # 2044
Portugal,Gibraltar,Portugal,5 wickets,Albergaria,"Apr 11, 2023",T20I # 2043
Portugal,Gibraltar,Portugal,124 runs,Albergaria,"Apr 10, 2023",T20I # 2042
New Zealand,Sri Lanka,New Zealand,4 wickets,Queenstown,"Apr 8, 2023",T20I # 2041
New Zealand,Sri Lanka,New Zealand,9 wickets,Dunedin,"Apr 5, 2023",T20I # 2040
New Zealand,Sri Lanka,tied,-,Auckland,"Apr 2, 2023",T20I # 2039
Bangladesh,Ireland,Ireland,7 wickets,Chattogram,"Mar 31, 2023",T20I # 2038
Bangladesh,Ireland,Bangladesh,77 runs,Chattogram,"Mar 29, 2023",T20I # 2037
South Africa,West Indies,West Indies,7 runs,Johannesburg,"Mar 28, 2023",T20I # 2036
Afghanistan,Pakistan,Pakistan,66 runs,Sharjah,"Mar 27, 2023",T20I # 2035
Bangladesh,Ireland,Bangladesh,22 runs,Chattogram,"Mar 27, 2023",T20I # 2034
Afghanistan,Pakistan,Afghanistan,7 wickets,Sharjah,"Mar 26, 2023",T20I # 2033
South Africa,West Indies,South Africa,6 wickets,Centurion,"Mar 26, 2023",T20I # 2032
South Africa,West Indies,West Indies,3 wickets,Centurion,"Mar 25, 2023",T20I # 2031
Afghanistan,Pakistan,Afghanistan,6 wickets,Sharjah,"Mar 24, 2023",T20I # 2030
Fiji,Samoa,Fiji,22 runs,Suva,"Mar 18, 2023",T20I # 2029
Fiji,Vanuatu,Vanuatu,26 runs,Suva,"Mar 17, 2023",T20I # 2028
Fiji,Vanuatu,Vanuatu,102 runs,Suva,"Mar 16, 2023",T20I # 2027
Bangladesh,England,Bangladesh,16 runs,Mirpur,"Mar 14, 2023",T20I # 2026
Fiji,Samoa,Fiji,66 runs,Suva,"Mar 14, 2023",T20I # 2025
Samoa,Vanuatu,Vanuatu,17 runs,Suva,"Mar 13, 2023",T20I # 2024
Bangladesh,England,Bangladesh,4 wickets,Mirpur,"Mar 12, 2023",T20I # 2023
Hong Kong,Malaysia,Hong Kong,39 runs,Mong Kok,"Mar 12, 2023",T20I # 2022
Bahrain,Kuwait,Kuwait,6 wickets,Mong Kok,"Mar 12, 2023",T20I # 2021
Hong Kong,Malaysia,Hong Kong,4 wickets,Mong Kok,"Mar 11, 2023",T20I # 2020
Bahrain,Kuwait,Bahrain,4 wickets,Mong Kok,"Mar 11, 2023",T20I # 2019
Bangladesh,England,Bangladesh,6 wickets,Chattogram,"Mar 9, 2023",T20I # 2018
Hong Kong,Kuwait,Hong Kong,11 runs,Mong Kok,"Mar 9, 2023",T20I # 2017
Bahrain,Malaysia,Malaysia,53 runs,Mong Kok,"Mar 9, 2023",T20I # 2016
Hong Kong,Bahrain,Hong Kong,15 runs,Mong Kok,"Mar 8, 2023",T20I # 2015
Kuwait,Malaysia,Malaysia,3 wickets,Mong Kok,"Mar 8, 2023",T20I # 2014
Argentina,Cayman Is,Cayman Is,3 wickets,Buenos Aires,"Mar 4, 2023",T20I # 2013
Bahamas,Bermuda,Bermuda,9 wickets,Buenos Aires,"Mar 4, 2023",T20I # 2012
Argentina,Bahamas,Argentina,43 runs,Buenos Aires,"Mar 2, 2023",T20I # 2011
Cayman Is,Panama,Cayman Is,12 runs,Buenos Aires,"Mar 2, 2023",T20I # 2010
Bermuda,Panama,Bermuda,60 runs,Buenos Aires,"Feb 28, 2023",T20I # 2009
Bahamas,Cayman Is,Cayman Is,31 runs,Buenos Aires,"Feb 28, 2023",T20I # 2008
Argentina,Bermuda,Bermuda,110 runs,Buenos Aires,"Feb 26, 2023",T20I # 2007
Bahamas,Panama,Bahamas,4 wickets,Buenos Aires,"Feb 26, 2023",T20I # 2006
Spain,Isle of Man,Spain,10 wickets,Cartagena,"Feb 26, 2023",T20I # 2005
Spain,Isle of Man,Spain,7 wickets,Cartagena,"Feb 26, 2023",T20I # 2004
Bermuda,Cayman Is,Bermuda,96 runs,Buenos Aires,"Feb 25, 2023",T20I # 2003
Argentina,Panama,Panama,53 runs,Buenos Aires,"Feb 25, 2023",T20I # 2002
Spain,Isle of Man,Spain,6 wickets,Cartagena,"Feb 25, 2023",T20I # 2001
Spain,Isle of Man,Spain,8 wickets,Cartagena,"Feb 25, 2023",T20I # 2000
Spain,Isle of Man,Spain,81 runs,Cartagena,"Feb 24, 2023",T20I # 1998
Argentina,Bermuda,Bermuda,107 runs,Buenos Aires,"Feb 22, 2023",T20I # 1997
Argentina,Bermuda,Bermuda,6 wickets,Buenos Aires,"Feb 21, 2023",T20I # 1996
U.A.E.,Afghanistan,Afghanistan,6 wickets,Abu Dhabi,"Feb 19, 2023",T20I # 1995
U.A.E.,Afghanistan,U.A.E.,9 wickets,Abu Dhabi,"Feb 18, 2023",T20I # 1994
U.A.E.,Afghanistan,Afghanistan,5 wickets,Abu Dhabi,"Feb 16, 2023",T20I # 1993
India,New Zealand,India,168 runs,Ahmedabad,"Feb 1, 2023",T20I # 1992
India,New Zealand,India,6 wickets,Lucknow,"Jan 29, 2023",T20I # 1991
India,New Zealand,New Zealand,21 runs,Ranchi,"Jan 27, 2023",T20I # 1990
Zimbabwe,Ireland,Zimbabwe,4 wickets,Harare,"Jan 15, 2023",T20I # 1989
Zimbabwe,Ireland,Ireland,6 wickets,Harare,"Jan 14, 2023",T20I # 1988
Zimbabwe,Ireland,Zimbabwe,5 wickets,Harare,"Jan 12, 2023",T20I # 1987
India,Sri Lanka,India,91 runs,Rajkot,"Jan 7, 2023",T20I # 1986
India,Sri Lanka,Sri Lanka,16 runs,Pune,"Jan 5, 2023",T20I # 1985
India,Sri Lanka,India,2 runs,Wankhede,"Jan 3, 2023",T20I # 1984
